"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2000","NYY","87","74","40","543","161","1424.1","6.57","3.65","1.12",".290","69.2%","","","","4.76","","4.61","","17.5"
"2009","SEA","85","77","49","572","162","1452.2","6.46","3.31","1.07",".272","73.4%","41.2%","9.7%","92.2","3.87","","4.39","4.46","17.5"
"2013","KCR","86","76","52","589","162","1448.1","7.51","2.91","0.96",".290","76.9%","41.8%","10.0%","94.0","3.45","","3.83","3.90","17.5"
"2008","LAA","100","62","66","545","162","1451.1","6.86","2.83","0.99",".296","73.0%","44.3%","9.8%","92.4","4.00","","4.12","4.17","17.5"
"2018","TBR","90","72","52","715","162","1448.1","8.83","3.11","1.02",".278","73.3%","43.9%","11.5%","94.0","3.75","","3.82","3.98","17.4"
"2015","CHW","76","86","37","576","162","1452.2","8.42","2.94","1.00",".311","72.9%","45.2%","11.4%","93.1","3.98","","3.82","3.81","17.4"
"2014","OAK","88","74","31","603","162","1463.1","7.65","2.50","0.90",".272","75.9%","45.6%","10.0%","93.0","3.22","","3.67","3.60","17.4"
"2005","SDP","82","80","45","618","162","1455.1","7.01","3.11","0.90",".295","71.0%","43.0%","9.2%","","4.13","","3.90","4.10","17.4"
"2011","SEA","67","95","39","513","162","1433.0","6.83","2.74","0.91",".285","71.4%","43.8%","9.1%","92.3","3.91","","3.84","3.92","17.4"
"2005","NYM","83","79","38","554","162","1435.2","6.34","3.08","0.85",".283","73.7%","44.2%","8.8%","","3.77","","3.98","4.23","17.4"
"2011","NYY","97","65","47","627","162","1458.1","7.54","3.13","0.94",".297","75.0%","44.2%","9.9%","92.9","3.73","","3.87","3.84","17.3"
"2021","PHI","82","80","36","687","162","1418.2","9.39","3.23","1.27",".296","71.4%","45.4%","14.7%","94.1","4.39","","4.15","4.02","17.3"
"2011","SFG","86","76","52","642","162","1468.0","8.07","3.43","0.59",".283","74.4%","46.4%","6.9%","92.2","3.21","","3.33","3.66","17.3"
"2006","COL","76","86","34","661","162","1447.1","5.92","3.44","0.96",".304","69.5%","45.7%","9.6%","","4.66","","4.51","4.68","17.3"
"2013","STL","97","65","44","645","162","1459.2","7.73","2.78","0.69",".297","74.5%","48.5%","8.5%","94.1","3.43","","3.39","3.63","17.3"
"2000","DET","79","83","44","591","162","1443.1","6.10","3.09","1.10",".306","69.2%","","","","4.73","","4.50","","17.3"
"2010","MIN","94","68","40","627","162","1452.2","6.49","2.37","0.96",".299","73.4%","44.7%","9.2%","92.1","3.95","","3.91","3.93","17.3"
"2022","CHW","81","81","48","711","162","1447.2","9.01","3.31","1.03",".295","71.2%","41.5%","10.5%","94.5","3.94","","3.81","3.93","17.3"
"2006","NYY","97","65","43","651","162","1443.2","6.35","3.09","1.06",".289","70.3%","43.3%","9.6%","","4.43","","4.42","4.61","17.3"
"2013","WSN","86","76","47","602","162","1445.2","7.69","2.52","0.88",".291","73.6%","45.0%","9.8%","94.0","3.59","","3.55","3.64","17.3"
"2007","CHW","72","90","42","625","162","1440.2","6.34","3.12","1.09",".304","68.2%","42.9%","9.8%","91.2","4.77","","4.56","4.54","17.2"
"2014","KCR","89","73","53","613","162","1450.2","7.25","2.73","0.79",".292","73.9%","43.1%","8.2%","94.0","3.51","","3.69","3.88","17.2"
"2006","OAK","93","69","54","606","162","1451.2","6.22","3.28","1.00",".301","73.4%","42.6%","9.2%","","4.22","","4.42","4.67","17.2"
"2001","NYM","82","80","48","559","162","1445.2","7.41","2.73","1.16",".290","72.4%","","","","4.08","","4.07","","17.2"
"2016","CHW","78","84","43","643","162","1446.2","7.90","3.24","1.15",".298","74.0%","43.1%","12.0%","93.1","4.12","","4.27","4.38","17.1"
"2018","COL","91","72","51","681","163","1452.1","8.73","3.25","1.14",".299","71.3%","45.2%","13.5%","93.4","4.33","","4.06","3.96","17.1"
"2000","OAK","91","70","43","542","161","1435.1","6.04","3.86","0.99",".301","70.1%","","","","4.58","","4.61","","17.1"
"2017","MIL","86","76","54","712","162","1445.2","8.38","3.44","1.15",".298","74.8%","45.7%","13.5%","93.5","4.00","","4.24","4.26","17.1"
"2022","TOR","92","70","46","746","162","1441.1","8.68","2.65","1.12",".295","73.4%","41.4%","11.4%","93.8","3.89","","3.85","3.84","17.0"
"2007","OAK","76","86","36","608","162","1448.0","6.44","3.29","0.86",".296","69.4%","44.8%","8.3%","90.3","4.30","","4.23","4.44","17.0"
"2022","LAA","73","89","38","652","162","1435.2","8.67","3.39","1.05",".276","73.0%","42.2%","11.1%","94.1","3.79","","3.96","4.00","17.0"
"2012","NYY","95","67","51","647","162","1445.1","8.21","2.68","1.18",".296","75.1%","44.9%","13.0%","92.3","3.85","","3.98","3.75","17.0"
"2009","DET","86","77","42","602","163","1447.0","6.85","3.69","1.13",".293","73.2%","42.7%","10.6%","94.4","4.34","","4.53","4.45","17.0"
"2008","NYY","89","73","42","637","162","1441.2","7.12","3.05","0.89",".307","71.0%","45.7%","9.3%","91.7","4.28","","3.96","4.08","16.9"
"2019","CHC","84","78","38","738","162","1442.0","9.01","3.33","1.22",".300","74.1%","45.9%","15.0%","92.4","4.10","","4.25","4.29","16.9"
"2021","CIN","83","79","41","741","162","1434.1","9.56","3.87","1.29",".297","72.6%","44.2%","14.8%","94.3","4.41","","4.34","4.18","16.9"
"2021","HOU","95","67","34","674","162","1445.0","9.07","3.42","1.16",".275","75.1%","44.7%","13.6%","93.2","3.80","","4.12","4.12","16.9"
"2010","LAD","80","82","41","637","162","1441.2","7.95","3.36","0.84",".287","70.9%","44.6%","8.6%","92.2","4.01","","3.76","3.87","16.8"
"2016","TOR","89","73","43","649","162","1459.1","8.10","2.84","1.13",".282","74.4%","46.6%","13.0%","92.9","3.79","","4.04","4.02","16.8"
"2017","CHC","92","70","38","693","162","1447.1","8.95","3.44","1.21",".285","74.2%","46.2%","14.5%","92.7","3.95","","4.20","4.10","16.8"
"2011","TBR","91","71","32","600","162","1449.0","7.10","3.13","1.00",".265","75.5%","42.1%","9.8%","92.8","3.58","","4.03","4.01","16.8"
"2013","PIT","94","68","55","627","162","1470.2","7.72","3.15","0.62",".285","75.0%","52.5%","8.9%","93.6","3.27","","3.42","3.58","16.8"
"2003","MIN","90","72","45","561","162","1461.2","6.14","2.48","1.15",".290","71.1%","38.6%","10.4%","","4.41","","4.26","4.38","16.8"
"2013","CLE","92","70","38","702","162","1441.1","8.61","3.46","0.92",".302","74.2%","44.5%","10.7%","93.4","3.82","","3.73","3.71","16.8"
"2011","MIL","96","66","47","596","162","1441.2","7.85","2.75","0.92",".288","73.2%","44.7%","9.7%","91.8","3.64","","3.59","3.58","16.8"
"2014","MIA","77","85","42","649","162","1457.2","7.35","2.83","0.70",".310","71.9%","46.9%","8.0%","94.7","3.79","","3.56","3.75","16.7"
"2008","KCR","75","87","44","601","162","1445.2","6.75","3.21","0.99",".298","69.1%","41.9%","9.2%","92.3","4.50","","4.21","4.36","16.7"
"2011","DET","95","67","52","583","162","1440.0","6.97","3.08","0.93",".292","71.1%","44.5%","9.3%","94.0","4.04","","3.96","4.00","16.7"
"2010","PHI","97","65","40","613","162","1456.1","7.31","2.57","1.04",".289","75.3%","46.5%","10.6%","91.9","3.68","","3.93","3.75","16.6"
"2013","OAK","96","66","46","609","162","1452.0","7.33","2.65","1.01",".276","74.8%","39.5%","9.2%","91.7","3.56","","3.83","4.05","16.6"
"2003","PHI","86","76","33","599","162","1443.2","6.61","3.34","0.89",".284","72.3%","45.3%","9.7%","","4.06","","4.12","4.32","16.6"
"2014","PHI","73","89","40","623","162","1468.1","7.69","3.19","0.82",".295","72.2%","46.4%","9.4%","93.8","3.81","","3.81","3.83","16.6"
"2004","FLA","83","79","53","566","162","1439.0","6.98","3.21","1.04",".288","72.9%","43.7%","10.7%","","4.10","","4.17","4.25","16.6"
"2001","SFG","90","72","47","601","162","1463.1","6.64","3.56","0.89",".290","70.5%","","","","4.19","","4.12","","16.6"
"2017","PIT","75","87","36","664","162","1440.2","7.88","3.19","1.14",".306","73.2%","45.2%","12.9%","94.8","4.23","","4.23","4.33","16.6"
"2017","TOR","76","86","45","740","162","1465.0","8.43","3.37","1.25",".303","71.8%","45.4%","13.3%","92.5","4.42","","4.31","4.36","16.6"
"2016","STL","86","76","38","643","162","1448.1","8.02","2.95","0.99",".304","71.8%","49.5%","12.8%","94.1","4.08","","3.88","3.88","16.6"
"2002","MON","83","79","39","599","162","1453.0","6.74","3.15","1.02",".295","72.9%","47.2%","11.5%","","3.98","","4.08","3.98","16.6"
"2000","LAD","86","76","36","533","162","1445.0","7.19","3.74","1.10",".283","73.3%","","","","4.10","","4.52","","16.5"
"2000","CHW","95","67","43","628","162","1450.1","6.44","3.81","1.21",".296","70.3%","","","","4.67","","4.83","","16.5"
"2019","BOS","84","78","33","794","162","1471.0","9.99","3.70","1.32",".312","70.8%","42.6%","14.4%","93.6","4.70","","4.28","4.39","16.5"
"2005","MIL","81","81","46","557","162","1438.0","7.34","3.56","1.06",".285","73.8%","41.4%","10.5%","","3.98","","4.20","4.22","16.5"
"2018","SEA","89","73","60","699","162","1448.2","8.25","2.49","1.21",".295","72.5%","42.5%","12.7%","93.6","4.13","","4.05","4.06","16.5"
"2022","TBR","86","76","44","734","162","1435.2","8.68","2.41","1.08",".277","74.6%","42.5%","11.2%","94.2","3.41","","3.68","3.71","16.5"
"2007","COL","90","73","39","692","163","1472.0","5.91","3.08","1.00",".290","71.1%","46.5%","9.9%","92.0","4.32","","4.52","4.48","16.5"
"2002","LAD","92","70","56","585","162","1457.2","6.99","3.43","1.02",".270","75.5%","42.5%","10.7%","","3.69","","4.12","4.11","16.4"
"2003","HOU","87","75","50","664","162","1450.0","7.07","3.51","1.00",".281","74.4%","43.8%","10.7%","","3.87","","4.23","4.29","16.4"
"2018","WSN","82","80","40","724","162","1446.0","8.82","3.03","1.23",".287","74.8%","41.2%","12.8%","93.4","4.04","","4.15","4.13","16.4"
"2006","CLE","78","84","24","539","162","1423.1","5.99","2.71","1.05",".308","70.0%","44.7%","10.0%","","4.43","","4.34","4.47","16.4"
"2004","STL","105","57","57","631","162","1453.2","6.45","2.72","1.05",".276","74.4%","48.0%","11.9%","","3.75","","4.17","4.09","16.4"
"2006","SDP","88","74","50","637","162","1463.2","6.75","2.88","1.08",".276","73.9%","41.5%","10.1%","","3.88","","4.27","4.39","16.4"
"2013","COL","74","88","35","665","162","1436.0","6.67","3.24","0.85",".314","70.2%","47.4%","10.0%","92.9","4.44","","3.96","4.02","16.4"
"2000","SFG","97","65","47","546","162","1444.1","6.70","3.88","0.94",".297","71.9%","","","","4.21","","4.38","","16.4"
"2001","LAD","86","76","46","570","162","1450.2","7.52","3.25","1.14",".286","71.8%","","","","4.25","","4.26","","16.4"
"2010","NYY","95","67","39","592","162","1442.1","7.20","3.37","1.12",".281","74.0%","43.9%","10.7%","93.2","4.06","","4.34","4.15","16.4"
"2000","COL","82","80","33","641","162","1430.0","6.30","3.70","1.39",".302","69.4%","","","","5.29","","5.13","","16.4"
"2010","SDP","90","72","49","661","162","1456.1","8.00","3.20","0.86",".286","76.7%","46.0%","9.3%","91.7","3.41","","3.66","3.67","16.3"
"2021","NYM","77","85","41","705","162","1379.1","9.48","3.10","1.24",".287","73.2%","42.5%","13.9%","94.5","3.90","","4.04","3.99","16.3"
"2010","TBR","96","66","51","653","162","1453.2","7.36","2.96","1.08",".278","75.2%","41.3%","9.9%","93.6","3.78","","4.09","4.00","16.3"
"2012","STL","88","74","42","668","162","1462.2","7.49","2.68","0.82",".298","73.2%","48.5%","10.4%","94.0","3.71","","3.62","3.72","16.2"
"2006","MIL","75","87","43","589","162","1425.2","7.23","3.24","1.12",".297","67.4%","42.1%","10.8%","","4.83","","4.39","4.40","16.2"
"2006","NYM","97","65","43","636","162","1461.1","7.15","3.25","1.11",".284","72.5%","43.3%","11.0%","","4.16","","4.37","4.34","16.2"
"2012","CHW","85","77","37","628","162","1445.2","7.76","3.13","1.16",".288","75.2%","42.7%","12.1%","92.6","4.02","","4.23","4.12","16.2"
"2004","LAD","93","69","51","621","162","1453.1","6.60","3.23","1.10",".279","74.6%","41.4%","10.7%","","4.01","","4.36","4.44","16.2"
"2002","MIN","94","67","47","596","161","1444.2","6.39","2.73","1.15",".286","73.0%","38.2%","10.0%","","4.12","","4.20","4.32","16.2"
"2002","ANA","99","63","54","562","162","1452.1","6.19","3.15","1.05",".269","75.6%","41.0%","9.9%","","3.69","","4.25","4.37","16.1"
"2004","ATL","96","66","48","645","162","1450.0","6.36","3.25","0.96",".294","75.0%","47.1%","10.7%","","3.75","","4.15","4.22","16.1"
"2010","FLA","80","82","39","643","162","1438.1","7.31","3.44","0.84",".301","71.3%","43.6%","8.1%","92.7","4.09","","3.92","4.11","16.1"
"2003","SEA","93","69","38","528","162","1441.0","6.25","2.91","1.08",".269","75.6%","39.2%","9.9%","","3.76","","4.29","4.49","16.1"
"2007","SFG","71","91","37","658","162","1453.2","6.54","3.67","0.82",".293","71.8%","43.0%","7.7%","90.2","4.20","","4.30","4.59","16.0"
"2005","PHI","88","74","40","604","162","1435.0","7.27","3.05","1.19",".283","72.4%","44.4%","13.3%","","4.21","","4.29","3.94","16.0"
"2012","BAL","93","69","55","654","162","1483.0","7.14","2.92","1.12",".285","73.8%","44.7%","11.7%","92.2","3.90","","4.20","4.14","16.0"
"2021","LAA","77","85","39","724","162","1421.2","9.20","3.75","1.19",".305","69.6%","44.5%","13.5%","92.9","4.69","","4.25","4.26","16.0"
"2007","ARI","90","72","51","631","162","1441.0","6.80","3.41","1.06",".293","72.7%","43.9%","10.3%","90.2","4.13","","4.52","4.42","16.0"
"2015","MIN","83","79","45","682","162","1443.0","6.52","2.58","1.02",".300","72.8%","44.0%","10.4%","92.5","4.07","","4.10","4.23","16.0"
"2014","STL","90","72","55","647","162","1448.2","7.59","2.92","0.76",".286","74.4%","45.4%","8.6%","94.1","3.50","","3.65","3.77","15.9"
"2006","TEX","80","82","42","651","162","1431.1","6.11","3.12","1.02",".307","70.6%","46.4%","10.4%","","4.61","","4.44","4.50","15.8"
"2013","BOS","97","65","33","612","162","1454.0","8.01","3.24","0.97",".294","74.5%","42.9%","10.2%","92.5","3.79","","3.84","3.89","15.8"
"2015","BAL","81","81","43","615","162","1434.2","7.73","3.03","1.09",".298","73.6%","45.2%","12.0%","93.2","4.05","","4.11","4.04","15.8"
"2003","SFG","100","61","43","622","161","1437.1","6.30","3.42","0.85",".278","74.4%","43.5%","8.9%","","3.73","","4.09","4.40","15.7"
"2016","BAL","89","73","54","605","162","1432.0","7.84","3.43","1.15",".299","73.7%","44.8%","12.6%","93.3","4.22","","4.31","4.34","15.7"
"2013","SEA","71","91","43","610","162","1465.0","7.97","2.94","1.07",".303","70.7%","45.3%","11.8%","93.1","4.32","","3.89","3.72","15.7"
"2004","BAL","78","84","27","614","162","1455.1","6.74","4.25","0.98",".298","69.8%","45.6%","9.9%","","4.71","","4.52","4.71","15.7"
"2010","SEA","61","101","38","520","162","1438.0","6.09","2.83","0.98",".279","71.4%","43.4%","9.0%","91.3","3.95","","4.17","4.23","15.7"
"2017","STL","83","79","43","708","162","1450.1","8.38","3.06","1.14",".298","73.6%","46.3%","13.5%","94.3","4.01","","4.09","4.12","15.7"
"2010","BOS","89","73","44","605","162","1456.2","7.46","3.58","0.94",".292","70.8%","43.6%","9.0%","92.4","4.19","","4.08","4.13","15.7"
"2021","MIA","67","95","33","757","162","1415.0","8.78","3.36","1.03",".290","71.6%","44.6%","12.0%","93.8","3.96","","4.01","4.21","15.7"
"2004","PIT","72","89","46","625","161","1428.0","6.80","3.63","0.94",".301","71.5%","45.0%","9.9%","","4.31","","4.24","4.42","15.7"
"2009","TOR","75","87","25","607","162","1451.0","7.33","3.42","1.12",".308","72.2%","45.0%","11.6%","91.8","4.47","","4.35","4.13","15.6"
"2010","ATL","91","71","41","652","162","1439.1","7.76","3.16","0.79",".290","73.4%","49.9%","9.3%","93.0","3.57","","3.65","3.65","15.6"
"2004","SDP","87","75","44","599","162","1441.0","6.74","2.64","1.15",".290","73.2%","42.9%","11.2%","","4.03","","4.19","4.19","15.6"
"2016","MIA","79","82","55","720","161","1435.0","8.65","3.73","0.95",".303","74.0%","43.0%","10.9%","93.9","4.05","","3.97","4.21","15.5"
"2005","STL","100","62","48","598","162","1445.2","6.06","2.76","0.95",".282","75.1%","50.7%","11.6%","","3.49","","4.09","3.98","15.5"
"2021","ATL","88","73","40","742","161","1410.2","9.04","3.29","1.17",".280","74.4%","43.7%","13.5%","94.3","3.89","","4.09","4.09","15.5"
"2010","HOU","76","86","45","669","162","1439.1","7.57","3.43","0.88",".305","71.0%","44.3%","8.8%","92.2","4.09","","3.89","3.97","15.5"
"2003","MON","83","79","42","599","162","1437.2","6.44","2.90","1.13",".290","73.5%","44.6%","12.2%","","4.01","","4.35","4.22","15.5"
"2000","SEA","91","71","44","545","162","1441.2","6.23","3.96","1.04",".288","70.9%","","","","4.53","","4.65","","15.5"
"2006","TOR","87","75","42","644","162","1428.1","6.78","3.18","1.17",".292","71.7%","46.3%","12.3%","","4.37","","4.51","4.31","15.4"
"2011","FLA","72","90","40","670","162","1459.2","7.51","3.08","0.92",".292","71.5%","44.6%","9.6%","92.3","3.95","","3.79","3.80","15.3"
"2002","CLE","74","88","34","583","162","1424.2","6.68","3.81","0.90",".310","67.6%","45.4%","9.7%","","4.91","","4.16","4.29","15.3"
"2010","TOR","85","77","45","617","162","1440.2","7.40","3.37","0.94",".297","71.2%","45.7%","9.5%","91.8","4.23","","4.04","4.03","15.3"
"2012","ARI","81","81","39","623","162","1433.2","7.53","2.62","0.97",".301","72.0%","46.1%","11.0%","91.9","3.94","","3.81","3.84","15.3"
"2013","CHW","63","99","40","632","162","1455.0","7.73","3.15","1.13",".295","73.1%","43.3%","11.5%","92.4","4.00","","4.13","3.98","15.3"
"2019","SDP","70","92","47","705","162","1432.0","9.27","2.91","1.35",".299","70.0%","43.0%","14.8%","93.4","4.63","","4.22","4.29","15.2"
"2005","NYY","95","67","46","580","162","1430.2","6.20","2.91","1.03",".297","69.1%","47.0%","10.1%","","4.54","","4.28","4.36","15.2"
"2003","ATL","101","61","51","651","162","1456.1","6.13","3.43","0.91",".283","70.6%","47.6%","11.0%","","4.10","","4.21","4.24","15.2"
"2011","SDP","71","91","44","651","162","1449.1","7.07","3.24","0.78",".283","74.5%","44.0%","8.2%","92.4","3.43","","3.73","3.93","15.1"
"2003","TOR","86","76","35","605","162","1435.0","6.17","3.04","1.15",".302","69.2%","46.4%","12.7%","","4.69","","4.46","4.26","15.1"
"2012","KCR","72","90","44","662","162","1451.1","7.30","3.36","1.01",".311","72.4%","43.2%","10.5%","92.9","4.30","","4.18","4.29","15.1"
"2005","CHC","79","83","39","619","162","1440.0","7.85","3.60","1.16",".284","73.7%","46.0%","13.5%","","4.19","","4.26","3.90","15.1"
"2018","ATL","90","72","40","715","162","1456.2","8.79","3.92","0.95",".278","74.1%","43.3%","11.2%","93.7","3.75","","3.99","4.16","15.1"
"2008","FLA","84","77","36","672","161","1435.1","7.07","3.67","1.01",".290","70.6%","41.7%","9.8%","91.9","4.44","","4.37","4.42","15.1"
"2000","STL","95","67","37","548","162","1433.2","6.91","3.80","1.23",".285","72.4%","","","","4.40","","4.77","","15.0"
"2017","TBR","80","82","53","673","162","1445.0","8.42","3.13","1.20",".283","73.0%","43.0%","12.8%","93.7","3.99","","4.17","4.29","15.0"
"2011","LAA","86","76","39","548","162","1465.0","6.50","2.92","0.87",".282","74.5%","44.9%","8.8%","93.0","3.57","","3.89","4.01","15.0"
"2007","CIN","72","90","34","684","162","1449.2","6.63","2.99","1.23",".310","69.4%","40.0%","10.7%","89.9","4.95","","4.69","4.52","15.0"
"2018","PIT","82","79","40","641","161","1434.0","8.38","3.12","1.09",".296","73.6%","43.4%","12.1%","94.3","4.00","","4.06","4.14","14.9"
"2009","TEX","87","75","45","598","162","1434.2","6.37","3.33","1.07",".288","72.1%","42.5%","10.0%","92.4","4.38","","4.49","4.50","14.9"
"2019","STL","91","71","52","704","162","1444.0","8.72","3.40","1.19",".283","75.8%","44.9%","14.5%","93.9","3.82","","4.27","4.36","14.9"
"2004","TEX","89","73","52","630","162","1439.2","6.12","3.42","1.14",".297","71.8%","44.5%","11.0%","","4.54","","4.64","4.67","14.9"
"2009","KCR","65","97","34","588","162","1426.0","7.28","3.79","1.05",".307","68.0%","43.8%","10.0%","92.6","4.83","","4.36","4.38","14.9"
"2022","MIL","86","76","52","710","162","1446.0","9.52","3.24","1.18",".280","72.9%","43.8%","13.4%","93.1","3.83","","3.92","3.66","14.9"
"2008","PHI","92","70","47","630","162","1449.2","6.71","3.31","0.99",".292","74.8%","44.8%","10.8%","91.2","3.89","","4.30","4.22","14.9"
"2013","NYY","85","77","49","590","162","1447.1","7.67","2.72","1.06",".302","74.6%","44.0%","11.5%","92.7","3.94","","3.89","3.76","14.8"
"2008","SFG","72","90","41","640","162","1442.0","7.74","4.07","0.92",".300","71.4%","39.2%","8.8%","91.9","4.38","","4.24","4.45","14.8"
"2006","CIN","80","82","36","638","162","1445.2","6.56","2.89","1.33",".301","72.1%","41.5%","12.2%","","4.53","","4.69","4.47","14.7"
"2015","TBR","80","82","60","692","162","1453.1","8.39","2.95","1.08",".284","75.1%","41.8%","11.2%","93.6","3.74","","3.91","3.94","14.7"
"2007","NYM","88","74","39","661","162","1452.1","7.03","3.53","1.02",".287","71.4%","40.8%","9.2%","90.5","4.27","","4.46","4.52","14.6"
"2008","MIL","90","72","45","607","162","1455.2","6.86","3.26","1.08",".285","74.5%","45.4%","11.7%","92.2","3.87","","4.34","4.14","14.6"
"2008","OAK","75","86","33","602","161","1435.0","6.65","3.61","0.85",".287","72.2%","41.2%","8.0%","90.7","4.01","","4.19","4.53","14.6"
"2013","MIA","62","100","36","633","162","1460.0","7.26","3.24","0.75",".292","73.2%","45.3%","8.4%","93.9","3.71","","3.69","3.96","14.6"
"2021","TOR","91","71","34","698","162","1405.1","9.40","3.03","1.34",".284","75.5%","43.0%","14.5%","93.5","3.91","","4.18","4.06","14.5"
"2014","LAA","98","64","46","705","162","1482.2","8.15","3.06","0.76",".285","73.3%","41.7%","8.0%","92.7","3.58","","3.57","3.78","14.5"
"2018","MIL","96","67","49","722","163","1461.0","8.80","3.41","1.07",".279","74.4%","43.2%","12.5%","92.7","3.73","","4.01","4.04","14.5"
"2005","WSN","81","81","51","632","162","1458.0","6.15","3.33","0.86",".290","74.5%","40.2%","8.3%","","3.87","","4.16","4.51","14.5"
"2013","TBR","92","71","42","648","163","1464.0","8.05","2.96","0.94",".284","73.6%","44.6%","10.6%","93.7","3.74","","3.71","3.71","14.5"
"2016","SEA","86","76","49","638","162","1457.0","8.14","2.84","1.32",".292","74.9%","43.4%","13.8%","93.5","4.00","","4.30","4.17","14.5"
"2021","OAK","86","76","39","666","162","1433.0","8.37","2.76","1.20",".290","73.7%","40.3%","11.8%","93.2","4.02","","4.10","4.35","14.4"
"2001","HOU","93","69","48","567","162","1454.2","7.60","3.01","1.37",".291","73.0%","","","","4.39","","4.48","","14.4"
"2005","ATL","90","72","38","646","162","1443.2","5.79","3.24","0.90",".294","74.3%","46.7%","10.3%","","3.98","","4.19","4.23","14.4"
"2018","STL","88","74","43","727","162","1455.1","8.27","3.67","0.89",".293","73.0%","44.6%","10.5%","93.7","3.85","","3.97","4.24","14.4"
"2012","NYM","74","88","36","667","162","1434.0","7.78","3.06","1.01",".290","71.1%","42.6%","10.5%","91.3","4.09","","3.93","4.04","14.3"
"2017","PHI","66","96","33","668","162","1441.0","8.18","3.29","1.38",".304","73.0%","42.9%","14.1%","93.4","4.57","","4.56","4.50","14.3"
"2012","MIL","83","79","44","674","162","1453.2","8.68","3.25","1.05",".313","72.1%","43.8%","12.1%","92.2","4.22","","3.82","3.73","14.3"
"2014","MIN","70","92","38","653","162","1435.0","6.47","2.56","0.92",".315","68.9%","41.8%","8.6%","92.1","4.58","","3.97","4.12","14.3"
"2011","BOS","90","72","36","606","162","1457.1","7.49","3.33","0.96",".285","70.8%","42.3%","9.1%","92.8","4.20","","4.05","4.13","14.3"
"2011","ATL","89","73","52","672","162","1479.2","8.10","3.17","0.76",".288","75.2%","47.5%","9.2%","92.6","3.49","","3.49","3.54","14.2"
"2014","TOR","83","79","45","611","162","1443.0","7.48","3.06","0.94",".294","72.7%","42.9%","9.4%","92.4","4.00","","3.97","3.99","14.2"
"2019","TEX","78","84","33","661","162","1438.0","8.63","3.65","1.51",".312","70.5%","41.8%","15.4%","93.7","5.09","","4.84","4.82","14.2"
"2016","SFG","87","75","43","737","162","1460.1","8.07","2.71","0.97",".287","74.3%","45.3%","10.8%","92.7","3.69","","3.76","4.01","14.2"
"2002","STL","97","65","42","634","162","1446.1","6.28","3.40","0.88",".277","74.5%","43.7%","9.1%","","3.70","","4.09","4.31","14.2"
"2007","SEA","88","74","43","618","162","1434.1","6.40","3.43","0.92",".315","69.3%","43.6%","8.4%","90.3","4.77","","4.42","4.62","14.2"
